titre,type_media,classification_age,est_violent
Persian Nights: Sands of Wonders,Jeu Video,T,TRUE
Treadnauts,Jeu Video,ET,TRUE
ACA NEOGEO GAROU: MARK OF THE WOLVES,Jeu Video,T,TRUE
Just Dance 2019,Jeu Video,E,FALSE
Hero Defense,Jeu Video,ET,TRUE
Brawlout,Jeu Video,ET,TRUE
Death's Gambit,Jeu Video,T,TRUE
Detective Gallo,Jeu Video,ET,FALSE
DOG GONE GOLFING,Jeu Video,E,FALSE
Domino Craft VR,Jeu Video,E,FALSE
Fall of Light ,Jeu Video,T,TRUE
"Guns, Gore and Cannoli 2",Jeu Video,T,TRUE
Phantom Doctrine,Jeu Video,M,TRUE
The Sims™ 4 Laundry Day Stuff,Jeu Video,T,FALSE
The Walking Dead: The Final Season,Jeu Video,M,TRUE
The Walking Dead: The Final Season - Suffer The Children,Jeu Video,M,TRUE
VROOM KABOOM,Jeu Video,ET,TRUE
Wailing Heights,Jeu Video,T,TRUE
TerraTech,Jeu Video,ET,TRUE
Madden NFL 19,Jeu Video,E,FALSE
Scribblenauts Unlimited,Jeu Video,ET,FALSE
Scribblenauts Unmasked - A DC Comics Adventure,Jeu Video,ET,FALSE
WARRIORS OROCHI 4,Jeu Video,T,FALSE
Assassin's Creed Odyssey ,Jeu Video,M,TRUE
ACA NEOGEO METAL SLUG 4,Jeu Video,T,TRUE
We Happy Few: Uncle Jack Live VR,Jeu Video,M,TRUE
Defenders of Ekron - Definitive Edition,Jeu Video,T,TRUE
Electronauts,Jeu Video,E,FALSE
Poop Slinger,Jeu Video,T,TRUE
Slam Land,Jeu Video,ET,TRUE
Tetra's Escape,Jeu Video,E,FALSE
THE DREAMLANDS: AISLING'S QUEST,Jeu Video,ET,TRUE
Word Search by POWGI,Jeu Video,E,FALSE
Steven Universe: Save the Light!,Jeu Video,ET,TRUE
Dead Cells,Jeu Video,T,TRUE
Elliot Quest,Jeu Video,ET,TRUE
NBA 2K19,Jeu Video,E,FALSE
Fist of the North Star: Lost Paradise,Jeu Video,M,TRUE
ACA NEOGEO PREHISTORIC ISLE 2,Jeu Video,T,TRUE
Road to Ballhalla,Jeu Video,E,FALSE
Sonic Mania Plus,Jeu Video,E,TRUE
State of Anarchy: Master of Mayhem,Jeu Video,T,TRUE
The Awesome Adventures of Captain Spirit,Jeu Video,M,TRUE
Pixel Ripped 1989,Jeu Video,ET,TRUE
1979 Revolution: Black Friday,Jeu Video,M,TRUE
8 To Glory - The Official Game of the PBR,Jeu Video,E,FALSE
Anamorphine,Jeu Video,T,TRUE
Castaway Paradise,Jeu Video,E,FALSE
Chasm,Jeu Video,T,TRUE
Fallen Legion: Flames of Rebellion,Jeu Video,ET,TRUE
Maximum Football 2018,Jeu Video,E,FALSE
The Sims™ 4 Cats & Dogs,Jeu Video,T,FALSE
The Wardrobe,Jeu Video,M,TRUE
TOUHOU SKY ARENA MATSURI CLIMAX,Jeu Video,T,FALSE
Flipping Death,Jeu Video,T,TRUE
Qubit's Quest,Jeu Video,ET,TRUE
All-Star Fruit Racing,Jeu Video,E,TRUE
Creed: Rise to Glory,Jeu Video,T,TRUE
Sea of Memories,Jeu Video,E,FALSE
Remothered: Tormented Fathers,Jeu Video,M,TRUE
Detached,Jeu Video,T,TRUE
VRobot,Jeu Video,T,TRUE
The Council - Episode 3 - Ripples ,Jeu Video,M,TRUE
Aces of the Luftwaffe - Squadron,Jeu Video,ET,TRUE
Airheart - Tales of broken Wings,Jeu Video,ET,TRUE
Banner Saga 2,Jeu Video,T,TRUE
Bud Spencer & Terence Hill - Slaps And Beans,Jeu Video,T,TRUE
Candle: The Power of the Flame,Jeu Video,ET,TRUE
Fill-a-Pix: Phil's Epic Adventure,Jeu Video,E,FALSE
Fishing Sim World,Jeu Video,E,FALSE
No Man's Sky,Jeu Video,T,TRUE
Train Sim World,Jeu Video,E,FALSE
Spyro™ Reignited Trilogy,Jeu Video,ET,FALSE
OK K.O.! Let's Play Heroes,Jeu Video,ET,TRUE
Gotcha Racing 2nd,Jeu Video,E,FALSE
Guts and Glory,Jeu Video,M,TRUE
The Mooseman,Jeu Video,ET,TRUE
Super Dungeon Tactics,Jeu Video,ET,TRUE
Gene Rain,Jeu Video,M,TRUE
Chicken Assassin: Reloaded,Jeu Video,T,TRUE
Frost ,Jeu Video,T,TRUE
Hopalong: The Badlands,Jeu Video,T,TRUE
Hungry Shark World,Jeu Video,T,TRUE
Let's Sing 2018,Jeu Video,T,TRUE
Mugsters,Jeu Video,T,TRUE
Race Arcade,Jeu Video,E,FALSE
Super Skull Smash GO! 2 Turbo,Jeu Video,E,TRUE
The Path of Motus,Jeu Video,ET,TRUE
Touhou Genso Wanderer Reloaded,Jeu Video,T,TRUE
MY HERO ONE'S JUSTICE,Jeu Video,T,TRUE
Starlink: Battle for Atlas,Jeu Video,ET,TRUE
Runestone Keeper,Jeu Video,T,TRUE
Koihime Enbu RyoRaiRai,Jeu Video,T,TRUE
BUTCHER,Jeu Video,M,TRUE
IRON CRYPTICLE,Jeu Video,T,TRUE
Black Clover: Quartet Knights,Jeu Video,T,FALSE
Insane Robots,Jeu Video,E,TRUE
The Spectrum Retreat,Jeu Video,T,FALSE
Defiance 2050,Jeu Video,M,TRUE
Super Destronaut DX,Jeu Video,E,TRUE
Ghost 1.0,Jeu Video,ET,TRUE
Bomber Crew,Jeu Video,ET,TRUE
Shadow of the Tomb Raider,Jeu Video,M,TRUE
Animal Force,Jeu Video,E,TRUE
20XX,Jeu Video,ET,TRUE
Dream Match Tennis VR,Jeu Video,E,FALSE
MOTHERGUNSHIP,Jeu Video,T,TRUE
Destiny 2: Forsaken,Jeu Video,T,TRUE
Immortal: Unchained,Jeu Video,T,TRUE
Divinity: Original Sin 2 - Definitive Edition,Jeu Video,M,TRUE
Pro Evolution Soccer 2019,Jeu Video,E,FALSE
ACA NEOGEO SAMURAI SHODOWN V,Jeu Video,T,TRUE
Gnomes Garden 3: The thief of castles,Jeu Video,E,FALSE
Fire Pro Wrestling World,Jeu Video,T,TRUE
V-Rally 4,Jeu Video,E,FALSE
The Unknown City (Horror Begins Now.....Episode 1),Jeu Video,M,TRUE
18 Floors,Jeu Video,ET,TRUE
Hotel Transylvania 3 Monsters Overboard,Jeu Video,ET,TRUE
The Walker,Jeu Video,T,TRUE
We Happy Few,Jeu Video,M,TRUE
Night Trap - 25th Anniversary Edition,Jeu Video,T,TRUE
Thumper,Jeu Video,ET,TRUE
Cosmic Star Heroine,Jeu Video,T,TRUE
ESPER,Jeu Video,ET,FALSE
IKARUGA,Jeu Video,ET,TRUE
Overcooked! 2,Jeu Video,E,FALSE
Shenmue I & II,Jeu Video,T,TRUE
ACA NEOGEO Money Puzzle Exchanger,Jeu Video,T,FALSE
FIGHTING EX LAYER,Jeu Video,T,TRUE
HomeStarVR for PlayStationVR,Jeu Video,E,FALSE
Next Up Hero,Jeu Video,ET,TRUE
Realms of Arkania: Star Trail,Jeu Video,T,TRUE
Tour de France 2018,Jeu Video,E,FALSE
Aquanox Deep Descent,Jeu Video,T,TRUE
ATOMINE,Jeu Video,E,TRUE
Grave Danger,Jeu Video,ET,TRUE
HAJWALA,Jeu Video,E,FALSE
LUMINES REMASTERED,Jeu Video,ET,FALSE
Rainbow Skies,Jeu Video,ET,TRUE
Red Faction Guerrilla Re-Mars-tered,Jeu Video,M,TRUE
Salary Man Escape VR,Jeu Video,E,FALSE
The Night Journey,Jeu Video,M,TRUE
Exile's End,Jeu Video,T,TRUE
Super Kids Racing,Jeu Video,E,FALSE
The Persistence,Jeu Video,M,TRUE
CLANNAD,Jeu Video,T,FALSE
Slime-san: Superslime Edition,Jeu Video,ET,TRUE
ACA NEOGEO THE KING OF FIGHTERS 2000,Jeu Video,T,TRUE
Grab the Bottle,Jeu Video,E,FALSE
Magic Knight Grand Charion,Jeu Video,ET,TRUE
Arcade Archives 10-Yard Fight,Jeu Video,E,FALSE
Ranch Planet,Jeu Video,ET,TRUE
Dark Legion,Jeu Video,M,TRUE
Anima: Gate of Memories -The Nameless Chronicles,Jeu Video,T,TRUE
Haimrik,Jeu Video,M,TRUE
Rooms: The Unsolvable Puzzle,Jeu Video,E,TRUE
Tales of the Tiny Planet,Jeu Video,E,FALSE
The Exorcist: Legion VR,Jeu Video,M,TRUE
The Lost Child,Jeu Video,T,TRUE
The Sims™ 4 Kids Room Stuff,Jeu Video,T,FALSE
The Sims™ 4 Parenthood,Jeu Video,T,FALSE
Kingdom: New Lands,Jeu Video,ET,TRUE
Monster Boy and the Cursed Kingdom,Jeu Video,ET,TRUE
CODE VEIN,Jeu Video,M,TRUE
LEGO The Incredibles,Jeu Video,ET,FALSE
Mega Man 11,Jeu Video,ET,FALSE
SPACE HULK,Jeu Video,T,TRUE
"WARHAMMER 40,000 : DEATHWATCH",Jeu Video,T,TRUE
Slime Rancher,Jeu Video,ET,TRUE
The Banner Saga,Jeu Video,T,FALSE
Banner Saga 3,Jeu Video,T,TRUE
Flashback,Jeu Video,ET,TRUE
The Long Dark,Jeu Video,T,TRUE
SOULCALIBUR VI,Jeu Video,T,TRUE
Arcade Archives MOON PATROL,Jeu Video,E,TRUE
Jurassic World Evolution,Jeu Video,T,TRUE
Omega Strike ,Jeu Video,T,TRUE
Penguin Wars,Jeu Video,E,TRUE
Fallout Shelter,Jeu Video,T,FALSE
Unravel 2,Jeu Video,E,TRUE
Agony,Jeu Video,M,TRUE
Football Nation VR 2018,Jeu Video,E,FALSE
ACA NEOGEO RIDING HERO,Jeu Video,E,FALSE
MotoGP™18,Jeu Video,E,FALSE
Aragami: Shadow Edition,Jeu Video,M,TRUE
Awkward,Jeu Video,M,TRUE
Firewall: Zero Hour,Jeu Video,T,TRUE
Narcosis,Jeu Video,M,TRUE
ONRUSH,Jeu Video,ET,TRUE
Perils of Baking,Jeu Video,ET,TRUE
Riddled Corpses EX,Jeu Video,T,TRUE
RollerCoaster Legends II: Thor's Hammer,Jeu Video,ET,TRUE
Shape of the World,Jeu Video,E,TRUE
The Infectious Madness of Doctor Dekker,Jeu Video,T,FALSE
Toto Temple Deluxe,Jeu Video,E,TRUE
The Aquatic Adventure of the Last Human,Jeu Video,T,TRUE
SPACE HULK ASCENSION,Jeu Video,T,TRUE
Overwatch Legendary Edition,Jeu Video,T,TRUE
Volume,Jeu Video,ET,TRUE
Earth Atlantis,Jeu Video,E,TRUE
Illusion: A Tale of the Mind,Jeu Video,ET,TRUE
Runbow,Jeu Video,E,TRUE
Dragon Quest XI: Echoes of an Elusive Age ,Jeu Video,T,TRUE
ACA NEOGEO NINJA COMBAT,Jeu Video,ET,TRUE
Gekido Kintaro's Revenge,Jeu Video,T,TRUE
Milanoir,Jeu Video,M,TRUE
Minecraft,Jeu Video,ET,TRUE
Personality and Psychology Premium,Jeu Video,M,FALSE
The Journey Down: Chapter Three,Jeu Video,T,FALSE
The Journey Down: Chapter Two,Jeu Video,T,FALSE
Along Together,Jeu Video,E,TRUE
Birdcakes,Jeu Video,ET,TRUE
Black Hat Cooperative,Jeu Video,E,FALSE
Die for Valhalla!,Jeu Video,T,TRUE
Dungeon Rushers,Jeu Video,ET,TRUE
Kabounce,Jeu Video,ET,TRUE
Knights of Pen and Paper +1 Deluxier Edition,Jeu Video,T,TRUE
METAL SLUG XX,Jeu Video,T,TRUE
Oh...Sir! The Hollywood Roast!,Jeu Video,T,FALSE
Old Man's Journey,Jeu Video,E,FALSE
Shift Quantum,Jeu Video,T,TRUE
The Journey Down: Chapter One,Jeu Video,T,FALSE
The Perfect Sniper,Jeu Video,M,TRUE
TO THE TOP,Jeu Video,E,FALSE
Wraith,Jeu Video,T,TRUE
Yoku's Island Express,Jeu Video,ET,TRUE
ZONE OF THE ENDERS: THE 2nd RUNNER - M?RS ,Jeu Video,T,TRUE
Escape Goat 2,Jeu Video,E,TRUE
NARUTO TO BORUTO: SHINOBI STRIKER,Jeu Video,T,FALSE
Siralim,Jeu Video,ET,TRUE
Labyrinth of Refrain: Coven of Dusk,Jeu Video,M,FALSE
PixelJunk Monsters 2,Jeu Video,ET,TRUE
ACA NEOGEO TOP PLAYER'S GOLF,Jeu Video,E,FALSE
Bloodstained: Curse of the Moon,Jeu Video,T,TRUE
Black Desert,Jeu Video,T,TRUE
Disco Dodgeball Remix,Jeu Video,ET,TRUE
EVERSPACE™ - Encounters,Jeu Video,T,TRUE
H1Z1: Battle Royale,Jeu Video,T,TRUE
I Hate Running Backwards,Jeu Video,T,TRUE
One Piece: Grand Cruise,Jeu Video,T,FALSE
Shio,Jeu Video,E,FALSE
Super Hyperactive Ninja,Jeu Video,ET,TRUE
Tennis World Tour,Jeu Video,E,FALSE
The Sims™ 4 Toddler Stuff,Jeu Video,T,FALSE
ACA NEOGEO BASEBALL STARS PROFESSIONAL,Jeu Video,E,FALSE
FOX N FORESTS,Jeu Video,ET,TRUE
Flynn and Freckles,Jeu Video,ET,TRUE
Animal Super Squad,Jeu Video,E,FALSE
Asemblance: Oversight,Jeu Video,T,FALSE
Azure Reflections,Jeu Video,T,TRUE
FORGOTTON ANNE,Jeu Video,ET,TRUE
GoNNER,Jeu Video,ET,TRUE
Horizon Chase Turbo,Jeu Video,E,FALSE
Little Witch Academia: Chamber of Time,Jeu Video,T,FALSE
Monster Slayers ,Jeu Video,T,TRUE
Omensight,Jeu Video,T,TRUE
The Council - Episode 2 - Hide And Seek,Jeu Video,M,TRUE
"Walden, a game",Jeu Video,E,FALSE
Welcome to Hanwell,Jeu Video,M,TRUE
Wizard of Legend,Jeu Video,ET,TRUE
Yakuza: Kiwami 2,Jeu Video,M,TRUE
Game Tengoku CruisinMix,Jeu Video,T,TRUE
MXGP PRO,Jeu Video,E,FALSE
Grim Legends 3: The Dark City,Jeu Video,T,TRUE
Race The Sun,Jeu Video,E,FALSE
ACA NEOGEO SUPER SIDEKICKS 2,Jeu Video,E,FALSE
Laser League,Jeu Video,ET,TRUE
Subaeria,Jeu Video,T,TRUE
2MD VR Football,Jeu Video,E,FALSE
Conan Exiles,Jeu Video,M,TRUE
CoolpaintrVR,Jeu Video,E,FALSE
Death Road to Canada,Jeu Video,T,TRUE
Hyper Sentinel,Jeu Video,E,TRUE
Inksplosion,Jeu Video,E,TRUE
Lunch Truck Tycoon 2,Jeu Video,ET,TRUE
Megadimension Neptunia VIIR,Jeu Video,T,TRUE
Raging Justice,Jeu Video,T,TRUE
Tacoma,Jeu Video,M,FALSE
Trailblazers,Jeu Video,E,FALSE
Tyr: Chains of Valhalla,Jeu Video,ET,TRUE
Warface,Jeu Video,T,TRUE
NEW GUNDAM BREAKER,Jeu Video,T,TRUE
City of Brass,Jeu Video,T,TRUE
Deiland,Jeu Video,ET,TRUE
ACA NEOGEO STAKES WINNER,Jeu Video,E,FALSE
Through the Woods,Jeu Video,M,TRUE
HIVE: Altenum Wars,Jeu Video,T,TRUE
Hex Tunnel Touch,Jeu Video,E,FALSE
Guns of Icarus Alliance,Jeu Video,T,TRUE
Cluster Tumble,Jeu Video,T,TRUE
Detroit: Become Human,Jeu Video,M,TRUE
Killing Floor: Incursion,Jeu Video,M,TRUE
Omega Labyrinth Z,Jeu Video,M,TRUE
Pirate Flight (VR),Jeu Video,E,FALSE
Super Mega Baseball 2,Jeu Video,E,FALSE
Dragon's Crown Pro,Jeu Video,T,TRUE
Hitman: Definitive Edition,Jeu Video,M,TRUE
Mega Man X Legacy Collection,Jeu Video,T,TRUE
Mega Man X Legacy Collection 2,Jeu Video,T,TRUE
Shaq Fu: A Legend Reborn,Jeu Video,T,TRUE
NOBUNAGA'S AMBITION: Taishi,Jeu Video,T,TRUE
Ruiner,Jeu Video,M,TRUE
Dream Angling,Jeu Video,E,FALSE
ACA NEOGEO GHOST PILOTS,Jeu Video,E,FALSE
Home Run Derby VR,Jeu Video,E,FALSE
Spacejacked,Jeu Video,ET,TRUE
Survive! Mr.CUBE (US Ver.),Jeu Video,ET,TRUE
Code51: Mecha Arena,Jeu Video,T,TRUE
Dead Secret,Jeu Video,T,FALSE
Devious Dungeon,Jeu Video,T,TRUE
Emily Wants to Play Too,Jeu Video,T,TRUE
Jolt Family Robot Racer,Jeu Video,E,FALSE
Just In Time Incorporated,Jeu Video,T,TRUE
Pic-a-Pix Color,Jeu Video,E,FALSE
The Swords of Ditto,Jeu Video,ET,TRUE
To Leave,Jeu Video,M,FALSE
Virry VR: Wild Encounters,Jeu Video,E,FALSE
The Elder Scrolls Online: Summerset,Jeu Video,M,TRUE
ACA NEOGEO SAMURAI SHODOWN IV,Jeu Video,T,TRUE
Drive On Moscow,Jeu Video,ET,TRUE
Phantom Trigger,Jeu Video,T,TRUE
The Crew 2,Jeu Video,T,FALSE
 DARK SOULS™: REMASTERED,Jeu Video,M,TRUE
Casey Powell Lacrosse 18,Jeu Video,E,FALSE
Dragooned,Jeu Video,T,TRUE
Harvest Moon: Light of Hope Special Edition,Jeu Video,E,FALSE
Thimbleweed Park,Jeu Video,T,TRUE
Aaero,Jeu Video,ET,TRUE
Dusty Raging Fist,Jeu Video,T,TRUE
ACA NEOGEO Gururin,Jeu Video,T,FALSE
No Heroes Here,Jeu Video,ET,TRUE
Rogue Aces,Jeu Video,ET,TRUE
League of Evil,Jeu Video,T,TRUE
Masters of Anima,Jeu Video,ET,TRUE
Project Nimbus: CODE MIRAI,Jeu Video,M,FALSE
Regalia: Of Men and Monarchs - Royal Edition,Jeu Video,T,TRUE
RICK AND MORTY: VIRTUAL RICK-ALITY,Jeu Video,M,TRUE
Starlit Adventures,Jeu Video,E,TRUE
SUPER AMAZEBALLS,Jeu Video,E,FALSE
Super Daryl Deluxe,Jeu Video,T,TRUE
Time Carnage,Jeu Video,T,TRUE
Frostpunk,Jeu Video,M,TRUE
Mages of Mystralia,Jeu Video,ET,TRUE
Dead Ahead: Zombie Warfare,Jeu Video,T,TRUE
Flight of Light,Jeu Video,E,FALSE
Gal*Gun 2 ,Jeu Video,M,FALSE
Impact Winter,Jeu Video,T,TRUE
Raining Coins,Jeu Video,E,FALSE
Rememoried,Jeu Video,E,FALSE
Bunny Must Die! Chelsea and the 7devils.,Jeu Video,T,TRUE
DAN-GUN Feveron,Jeu Video,E,TRUE
Dead Land,Jeu Video,M,TRUE
Metropolis: Lux Obscura,Jeu Video,M,TRUE
ACA NEOGEO SENGOKU 3,Jeu Video,T,TRUE
AO International Tennis,Jeu Video,E,FALSE
Crisis on the Planet of the Apes,Jeu Video,M,TRUE
Epic Dumpster Bear,Jeu Video,ET,FALSE
Infernium,Jeu Video,M,FALSE
Island Time,Jeu Video,ET,TRUE
Minit,Jeu Video,E,TRUE
OF MICE AND SAND -REVISED-,Jeu Video,ET,TRUE
Pillars of Eternity II: Deadfire,Jeu Video,M,TRUE
Preta: Vendetta Rising,Jeu Video,T,TRUE
Reverie,Jeu Video,E,TRUE
The Adventure Pals,Jeu Video,ET,TRUE
THE KING OF FIGHTERS '97 GLOBAL MATCH,Jeu Video,T,TRUE
Adventure Time Pirates of Enchiridion,Jeu Video,ET,FALSE
Moonlighter,Jeu Video,ET,TRUE
BlazBlue: Cross Tag Battle,Jeu Video,T,FALSE
Vampyr,Jeu Video,M,TRUE
Momodora: Reverie Under the Moonlight,Jeu Video,T,TRUE
Starbound,Jeu Video,ET,TRUE
Code: Realize ~Bouquet of Rainbows~,Jeu Video,T,TRUE
Kero Blaster,Jeu Video,E,TRUE
Ace of Seafood,Jeu Video,T,TRUE
Alchemist's Castle,Jeu Video,ET,TRUE
Ark Park,Jeu Video,T,TRUE
Batman: The Enemy Within - Episode 5: Same Stitch,Jeu Video,M,TRUE
A Way Out,Jeu Video,M,TRUE
L.A. Noire: The VR Case Files,Jeu Video,M,TRUE
"Warhammer 40,000: Inquisitor - Martyr",Jeu Video,M,TRUE
ACA NEOGEO WAKU WAKU 7,Jeu Video,T,FALSE
VR FC (Virtual Reality Football Club),Jeu Video,E,FALSE
Assassin's Creed Rogue Remastered,Jeu Video,M,TRUE
Lunar Stone: Origin of Blood,Jeu Video,T,TRUE
Minefield,Jeu Video,E,FALSE
Where are my friends?,Jeu Video,ET,TRUE
World of Warriors,Jeu Video,T,TRUE
ASSAULT GUNNERS HD EDITION,Jeu Video,ET,TRUE
AUDIOBEATS,Jeu Video,E,FALSE
Don't Bite Me Bro!,Jeu Video,T,TRUE
EARTHLOCK,Jeu Video,ET,TRUE
Floor Plan,Jeu Video,ET,TRUE
Mahjong Gold,Jeu Video,E,FALSE
Octahedron,Jeu Video,ET,TRUE
RollerCoaster Tycoon Joyride,Jeu Video,E,FALSE
Zeus Quest Remastered,Jeu Video,T,TRUE
Earthfall,Jeu Video,T,TRUE
RICK AND MORTY: VIRTUAL RICK-ALITY ,Jeu Video,M,TRUE
Musynx,Jeu Video,ET,TRUE
Kill The Bad Guy,Jeu Video,M,TRUE
Burnout Paradise Remastered,Jeu Video,ET,TRUE
Far Cry 3 Classic Edition,Jeu Video,M,TRUE
GAL*GUNVOLT BURST,Jeu Video,E,TRUE
Super Bomberman R,Jeu Video,ET,FALSE
The American Dream,Jeu Video,M,TRUE
Cruz Brothers,Jeu Video,M,TRUE
Q.U.B.E. 2,Jeu Video,T,FALSE
Tesla vs Lovecraft,Jeu Video,T,TRUE
The 25th Ward: The Silver Case,Jeu Video,M,TRUE
The Council - Episode 1 - The Mad Ones,Jeu Video,M,TRUE
The Long Reach,Jeu Video,M,TRUE
The Sims™ 4 My First Pet Stuff Pack,Jeu Video,T,FALSE
One Eyed Kutkh,Jeu Video,E,FALSE
ACA NEOGEO REAL BOUT FATAL FURY 2,Jeu Video,T,TRUE
Damascus Gear Operation Osaka HD Edition,Jeu Video,T,TRUE
DJMAX RESPECT,Jeu Video,T,TRUE
Fear Effect Sedna,Jeu Video,M,TRUE
Midnight Deluxe,Jeu Video,E,FALSE
NORTH,Jeu Video,T,TRUE
Rangi,Jeu Video,ET,TRUE
Way of the Passive Fist,Jeu Video,T,TRUE
ACA NEOGEO SHOCK TROOPERS 2nd Squad,Jeu Video,T,TRUE
Shining Resonance Refrain,Jeu Video,T,TRUE
Bridge Constructor Portal,Jeu Video,ET,TRUE
Perfect Angle,Jeu Video,E,FALSE
The Raven Remastered,Jeu Video,T,TRUE
Abo Khashem,Jeu Video,T,TRUE
Blasters of the Universe,Jeu Video,T,TRUE
de Blob 2,Jeu Video,ET,TRUE
Frantics,Jeu Video,E,TRUE
Heroine Anthem Zero Episode 1,Jeu Video,T,TRUE
Hex Tunnel,Jeu Video,E,FALSE
Immortal Redneck,Jeu Video,M,FALSE
Konrad the Kitten,Jeu Video,E,FALSE
Moss,Jeu Video,ET,TRUE
Mulaka,Jeu Video,T,TRUE
RESTLESS SPIRIT,Jeu Video,T,TRUE
RiftStar Raiders,Jeu Video,ET,TRUE
Timothy vs the Aliens,Jeu Video,T,TRUE
R.B.I. Baseball 2018,Jeu Video,E,FALSE
ACA NEOGEO MAGICAL DROP III,Jeu Video,T,FALSE
Little Adventure on the Prairie,Jeu Video,ET,TRUE
Suicide Guy,Jeu Video,T,TRUE
Apex Construct,Jeu Video,ET,TRUE
Deadbolt,Jeu Video,T,TRUE
Defender's Quest: Valley of the Forgotten (DX),Jeu Video,T,TRUE
Run Dorothy Run,Jeu Video,ET,TRUE
Symmetry,Jeu Video,T,TRUE
Tiles,Jeu Video,E,FALSE
Premium Pool Arena,Jeu Video,E,FALSE
The Station,Jeu Video,T,TRUE
MLB The Show 18,Jeu Video,E,FALSE
Fe,Jeu Video,E,TRUE
Guilt Battle Arena,Jeu Video,ET,TRUE
The Witch and the Hundred Knight 2,Jeu Video,T,TRUE
ACA NEOGEO THE LAST BLADE 2,Jeu Video,T,TRUE
Drunkn Bar Fight,Jeu Video,M,TRUE
Knockout League,Jeu Video,T,TRUE
Mahjong Carnival,Jeu Video,E,FALSE
Pinstripe,Jeu Video,T,TRUE
Pop-Up Pilgrims,Jeu Video,E,FALSE
Schacht,Jeu Video,E,FALSE
"Slice, Dice & Rice",Jeu Video,M,TRUE
Sprint Vector,Jeu Video,ET,TRUE
The Fall Part 2: Unbound,Jeu Video,T,TRUE
True Fear: Forsaken Souls - Part 1,Jeu Video,T,TRUE
Tom Clancy's Rainbow Six Siege: Advanced Edition,Jeu Video,M,TRUE
South Park: The Stick of Truth,Jeu Video,M,TRUE
MX vs ATV All Out,Jeu Video,ET,TRUE
Devil May Cry HD Collection,Jeu Video,M,TRUE
Under Night In-Birth Exe:Late[st] ,Jeu Video,T,TRUE
Aegis Defenders,Jeu Video,ET,TRUE
ACA NEOGEO BLAZING STAR,Jeu Video,ET,TRUE
Crossing Souls,Jeu Video,M,TRUE
ACA NEOGEO SAMURAI SHODOWN III,Jeu Video,T,TRUE
Bleed 2,Jeu Video,T,TRUE
Dandara,Jeu Video,ET,TRUE
Dragon Sinker,Jeu Video,ET,TRUE
Happy Drummer,Jeu Video,E,FALSE
Happy Drummer VR,Jeu Video,E,FALSE
Inception VR,Jeu Video,M,FALSE
Marooners,Jeu Video,E,TRUE
Frutakia 2,Jeu Video,E,FALSE
Nightmares from the Deep 3: Davy Jones,Jeu Video,T,TRUE
>Observer_,Jeu Video,M,TRUE
Atelier Lydie and Suelle: The Alchemists and the Mysterious Paintings,Jeu Video,T,TRUE
EA Sports UFC3,Jeu Video,T,TRUE
Extinction,Jeu Video,M,TRUE
God of War,Jeu Video,M,TRUE
Cold Iron,Jeu Video,T,TRUE
Titan Quest,Jeu Video,T,FALSE
Wonder Boy: The Dragon's Trap,Jeu Video,ET,TRUE
BRIKS 2,Jeu Video,M,FALSE
Mercenary Kings,Jeu Video,T,TRUE
Out Of Ammo,Jeu Video,T,TRUE
Pierhead Arcade,Jeu Video,ET,TRUE
Railway Empire,Jeu Video,E,FALSE
Strikers Edge,Jeu Video,T,TRUE
Wulverblade,Jeu Video,M,TRUE
Drift Zone,Jeu Video,E,FALSE
Celeste,Jeu Video,ET,TRUE
ACA NEOGEO SHOCK TROOPERS,Jeu Video,T,TRUE
Laws of Machine,Jeu Video,E,FALSE
Wild Turkey Hunter,Jeu Video,T,TRUE
Mutant Football League,Jeu Video,M,TRUE
Batman: The Enemy Within - Episode 4: What Ails You,Jeu Video,M,TRUE
Iconoclasts,Jeu Video,T,TRUE
SWORD ART ONLINE: FATAL BULLET,Jeu Video,T,FALSE
The aquatic Adventure of the Last Human,Jeu Video,T,TRUE
The Inpatient,Jeu Video,M,TRUE
RENTO FORTUNE,Jeu Video,E,FALSE
ACA NEOGEO POWER SPIKES II,Jeu Video,E,FALSE
StarDrone,Jeu Video,E,TRUE
Croixleur Sigma,Jeu Video,ET,TRUE
Albert & Otto,Jeu Video,ET,TRUE
Beholder Complete Edition,Jeu Video,T,TRUE
InnerSpace,Jeu Video,E,FALSE
Kerbal Space Program,Jeu Video,E,FALSE
Portal Of Evil,Jeu Video,T,TRUE
Scribblenauts Showdown,Jeu Video,ET,FALSE
State of Mind,Jeu Video,M,TRUE
Surviving Mars,Jeu Video,ET,TRUE
Flipy's Tesla! Let's invent the future,Jeu Video,E,FALSE
ACA NEOGEO THE KING OF FIGHTERS '98,Jeu Video,T,TRUE
Owlboy,Jeu Video,ET,TRUE
Energy Invasion,Jeu Video,E,FALSE
Little Red Lie,Jeu Video,M,FALSE
Plox Neon,Jeu Video,E,FALSE
Ni no Kuni II: REVENANT KINGDOM,Jeu Video,T,TRUE
FINAL FANTASY XV ROYAL EDITION,Jeu Video,T,TRUE
Street Fighter: 30th Anniversary Collection,Jeu Video,T,TRUE
Metal Gear Survive,Jeu Video,M,TRUE
Far Cry 5,Jeu Video,M,TRUE
TINY METAL,Jeu Video,ET,TRUE
Attack on Titan 2,Jeu Video,M,TRUE
RollerCoaster Legends,Jeu Video,T,FALSE
The BIT.TRIP,Jeu Video,E,TRUE
Gravel,Jeu Video,E,FALSE
